id,label,project,refactor,method,source class,target class,url
25424,2,trinodb/trino,"Move Method	protected createTableWithDefaultColumns() : TestTable from class io.prestosql.plugin.iceberg.TestIcebergSmoke to protected createTableWithDefaultColumns() : TestTable from class io.prestosql.plugin.iceberg.TestIcebergDistributed",createTableWithDefaultColumns,io.prestosql.plugin.iceberg.TestIcebergSmoke,io.prestosql.plugin.iceberg.TestIcebergDistributed,https///github.com/trinodb/trino/commit/b86387075bce4bff148125d974ca12ab91b70832
7477,1,apache/cassandra,"Move Method	private flagsToStrings(flags Set<CFMetaData.Flag>) : Set<String> from class org.apache.cassandra.schema.SchemaKeyspace to public flagsToStrings(flags Set<Flag>) : Set<String> from class org.apache.cassandra.config.CFMetaData",flagsToStrings,org.apache.cassandra.schema.SchemaKeyspace,org.apache.cassandra.config.CFMetaData,https://github.com/apache/cassandra/commit/6aa7d6ce89f155b72111bffce54e9bee66080b03
17636,2,apache/flink,"Move Method	public getFieldsFromDeserializer(hiveShim HiveShim, tableName String, deserializer Deserializer) : List<FieldSchema> from class org.apache.flink.table.catalog.hive.util.HiveReflectionUtils to public getFieldsFromDeserializer(conf Configuration, table Table, skipConfError boolean) : List<FieldSchema> from class org.apache.flink.table.catalog.hive.client.HiveShimV110",getFieldsFromDeserializer,org.apache.flink.table.catalog.hive.util.HiveReflectionUtils,org.apache.flink.table.catalog.hive.client.HiveShimV110,https://github.com/apache/flink/commit/15f8f3c52a1bf11ecf9f550388eee550b7fc763e
8291,1,languagetool-org/languagetool,"Move Method	private makeTexti18n(key String, messageArguments Object[]) : String from class de.danielnaber.languagetool.gui.Main to public makeTexti18n(messages ResourceBundle, key String, messageArguments Object[]) : String from class de.danielnaber.languagetool.gui.Tools",makeTexti18n,de.danielnaber.languagetool.gui.Main,de.danielnaber.languagetool.gui.Tools,https://github.com/languagetool-org/languagetool/commit/f71814e50d2b434be0d9fab34407ffa2dfe4160c
12821,1,kiegroup/drools,"Move Method	package newInstance(name String) : T from class org.drools.util.ServiceRegistryImpl to package newInstance(name String) : T from class org.drools.util.ServiceRegistryImpl.ReflectionInstantiator",newInstance,org.drools.util.ServiceRegistryImpl,org.drools.util.ServiceRegistryImpl.ReflectionInstantiator,https://github.com/kiegroup/drools/commit/067bce5c5d1ec3b383e30b5543e53f192635c41c
6762,1,stanfordnlp/CoreNLP,"Move Method	public convertToCoreLabels(tree Tree) : void from class edu.stanford.nlp.pipeline.ParserAnnotatorUtils to public convertToCoreLabels(tree Tree) : void from class edu.stanford.nlp.trees.Trees",convertToCoreLabels,edu.stanford.nlp.pipeline.ParserAnnotatorUtils,edu.stanford.nlp.trees.Trees,https://github.com/stanfordnlp/CoreNLP/commit/acf830e7aed27eef9039e3e5b81e6af8a71126a4
16818,1,dbeaver/dbeaver,"Move Method	public getNumericFunctions() : Collection<String> from class org.jkiss.dbeaver.model.DBPDataSourceInfo to public getNumericFunctions() : Collection<String> from class org.jkiss.dbeaver.model.sql.SQLDialect",getNumericFunctions,org.jkiss.dbeaver.model.DBPDataSourceInfo,org.jkiss.dbeaver.model.sql.SQLDialect,https://github.com/dbeaver/dbeaver/commit/e9d647261ae37a4aaa4b4378471344257e99a53d
504,0,elastic/elasticsearch,"Move Method	public builder(restClient RestClient) : Builder from class org.elasticsearch.client.sniff.HostsSniffer to public builder(restClient RestClient) : SnifferBuilder from class org.elasticsearch.client.sniff.Sniffer",builder,org.elasticsearch.client.sniff.HostsSniffer,org.elasticsearch.client.sniff.Sniffer,https://github.com/elastic/elasticsearch/commit/8a51cfb5b350882b670ecfd826d9da296e953604
15050,1,LWJGL/lwjgl3,"Move And Rename Method	public getAPIVersion(option Configuration<?>) : APIVersion from class org.lwjgl.system.Configuration to public apiParseVersion(option Configuration<?>) : APIVersion from class org.lwjgl.system.APIUtil",getAPIVersion,org.lwjgl.system.Configuration,org.lwjgl.system.APIUtil,https://github.com/LWJGL/lwjgl3/commit/0a284bfcdee15bda76e270308d9822c90e6b965d
4329,0,openjdk/jdk,"Move And Rename Method	protected getOp(forValue ValueNode) : IntegerConvertOp<OP> from class org.graalvm.compiler.nodes.calc.IntegerConvertNode to public getArithmeticOpTable(forValue ValueNode) : ArithmeticOpTable from class org.graalvm.compiler.nodes.calc.BinaryArithmeticNode",getOp,org.graalvm.compiler.nodes.calc.IntegerConvertNode,org.graalvm.compiler.nodes.calc.BinaryArithmeticNode,https://github.com/openjdk/jdk/commit/183e2e119dd7d4d5398080916717bd64cda3c6c2
510,0,elastic/elasticsearch,"Move Method	public generateNodeId(settings Settings) : String from class org.elasticsearch.cluster.node.DiscoveryNodeService to public generateNodeId(settings Settings) : String from class org.elasticsearch.env.NodeEnvironment",generateNodeId,org.elasticsearch.cluster.node.DiscoveryNodeService,org.elasticsearch.env.NodeEnvironment,https://github.com/elastic/elasticsearch/commit/6861d3571e6ded1b9718aea55d20072bcbf632d2
21483,2,neo4j/neo4j,"Move Method	public times(b long) : NumberValue from class org.neo4j.values.storable.LongValue to public times(b long) : DoubleValue from class org.neo4j.values.storable.FloatingPointValue",times,org.neo4j.values.storable.LongValue,org.neo4j.values.storable.FloatingPointValue,https://github.com/neo4j/neo4j/commit/eb10b3ea016ba7589bf153b41397371e0018bcc9
21714,2,neo4j/neo4j,"Move And Rename Method	public setupTheDatabase() : void from class org.neo4j.server.rest.DisableWADLDocIT to public setup() : void from class org.neo4j.examples.server.GetAllDocIT",setupTheDatabase,org.neo4j.server.rest.DisableWADLDocIT,org.neo4j.examples.server.GetAllDocIT,https://github.com/neo4j/neo4j/commit/5cf5f47fd93307e8bb1b93ffd7c7ab17e6424ad8
27701,2,vavr-io/vavr,"Move And Rename Method	public shouldUsePredicateInCaseWithFailure() : void from class javaslang.PredicatesTest to public shouldRecoverFailureUsingCase() : void from class javaslang.control.TryTest",shouldUsePredicateInCaseWithFailure,javaslang.PredicatesTest,javaslang.control.TryTest,https://github.com/vavr-io/vavr/commit/67d83de4008fa16020994fd7ca67d05721312a50
901,1,square/retrofit,"Move And Rename Method	private getParameterUpperBound(type ParameterizedType) : Type from class retrofit.MethodInfo to public getSingleParameterUpperBound(type ParameterizedType) : Type from class retrofit.Utils",getParameterUpperBound,retrofit.MethodInfo,retrofit.Utils,https://github.com/square/retrofit/commit/2ca195069c02c48d7d862913247e08000e282439
30216,1,vespa-engine/vespa,"Move Method	public infrastructureVersions() : InfrastructureVersions from class com.yahoo.vespa.hosted.provision.maintenance.NodeRepositoryMaintenance to public infrastructureVersions() : InfrastructureVersions from class com.yahoo.vespa.hosted.provision.NodeRepository",infrastructureVersions,com.yahoo.vespa.hosted.provision.maintenance.NodeRepositoryMaintenance,com.yahoo.vespa.hosted.provision.NodeRepository,https://github.com/vespa-engine/vespa/commit/830f26fef2eb5c012442ea8ba95955ce342eeb19
